time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2015-01-28 05 AM,1.51644,1.51716,1.51560,1.51667,1.51671,1.51742,1.51585,1.51692
2015-01-28 06 AM,1.51671,1.51872,1.51650,1.51818,1.51700,1.51897,1.51675,1.51844
2015-01-28 07 AM,1.51812,1.51876,1.51587,1.51596,1.51839,1.51905,1.51610,1.51616
2015-01-28 08 AM,1.51600,1.51926,1.51573,1.51853,1.51623,1.51956,1.51593,1.51875
2015-01-28 09 AM,1.51859,1.51969,1.51757,1.51918,1.51881,1.51991,1.51789,1.51939
2015-01-28 10 AM,1.51916,1.52130,1.51857,1.52067,1.51936,1.52153,1.51896,1.52086
2015-01-28 11 AM,1.52064,1.52178,1.51925,1.51943,1.52080,1.52201,1.51945,1.51963
2015-01-28 12 PM,1.51948,1.52181,1.51940,1.51957,1.51969,1.52204,1.51963,1.51991
2015-01-28 01 PM,1.51963,1.52084,1.51849,1.51962,1.51986,1.52105,1.51869,1.51983
2015-01-28 02 PM,1.51968,1.52007,1.51735,1.51776,1.51986,1.52026,1.51757,1.51797
2015-01-28 03 PM,1.51771,1.51833,1.51656,1.51783,1.51791,1.51850,1.51677,1.51803
2015-01-28 04 PM,1.51777,1.51825,1.51593,1.51632,1.51797,1.51844,1.51615,1.51651
2015-01-28 05 PM,1.51637,1.51824,1.51630,1.51757,1.51655,1.51846,1.51649,1.51776
2015-01-28 06 PM,1.51762,1.51766,1.51587,1.51657,1.51782,1.51874,1.51621,1.51835
2015-01-28 07 PM,1.51657,1.51997,1.51465,1.51552,1.51834,1.52076,1.51490,1.51580
2015-01-28 08 PM,1.51552,1.51625,1.51339,1.51550,1.51581,1.51648,1.51379,1.51578
2015-01-28 09 PM,1.51553,1.51570,1.51301,1.51348,1.51576,1.51595,1.51328,1.51446
2015-01-28 10 PM,1.51392,1.51451,1.51338,1.51449,1.51446,1.51542,1.51386,1.51481
2015-01-28 11 PM,1.51444,1.51456,1.51364,1.51390,1.51489,1.51489,1.51394,1.51414
2015-01-29,1.51383,1.51519,1.51372,1.51468,1.51409,1.51544,1.51398,1.51490
2015-01-29 01 AM,1.51473,1.51544,1.51409,1.51525,1.51496,1.51571,1.51435,1.51550
2015-01-29 02 AM,1.51525,1.51527,1.51418,1.51455,1.51552,1.51552,1.51443,1.51478
2015-01-29 03 AM,1.51450,1.51469,1.51379,1.51394,1.51472,1.51489,1.51402,1.51420
2015-01-29 04 AM,1.51390,1.51420,1.51328,1.51374,1.51413,1.51445,1.51355,1.51399
2015-01-29 05 AM,1.51370,1.51465,1.51294,1.51463,1.51393,1.51488,1.51316,1.51483
2015-01-29 06 AM,1.51457,1.51528,1.51392,1.51476,1.51478,1.51547,1.51414,1.51499
2015-01-29 07 AM,1.51470,1.51614,1.51284,1.51315,1.51494,1.51638,1.51304,1.51335
2015-01-29 08 AM,1.51313,1.51475,1.51096,1.51219,1.51332,1.51498,1.51117,1.51240
2015-01-29 09 AM,1.51224,1.51379,1.51111,1.51360,1.51246,1.51401,1.51132,1.51379
2015-01-29 10 AM,1.51361,1.51502,1.51339,1.51418,1.51381,1.51528,1.51358,1.51443
2015-01-29 11 AM,1.51424,1.51425,1.51168,1.51288,1.51449,1.51449,1.51188,1.51308
2015-01-29 12 PM,1.51282,1.51433,1.51237,1.51259,1.51303,1.51450,1.51258,1.51279
2015-01-29 01 PM,1.51258,1.51338,1.51141,1.51261,1.51280,1.51381,1.51163,1.51281
2015-01-29 02 PM,1.51254,1.51406,1.51178,1.51184,1.51276,1.51427,1.51207,1.51210
2015-01-29 03 PM,1.51189,1.51227,1.50721,1.50759,1.51219,1.51247,1.50741,1.50778
2015-01-29 04 PM,1.50752,1.50839,1.50223,1.50410,1.50773,1.50860,1.50248,1.50430
2015-01-29 05 PM,1.50412,1.50512,1.50319,1.50466,1.50430,1.50532,1.50338,1.50489
2015-01-29 06 PM,1.50466,1.50496,1.50164,1.50449,1.50488,1.50518,1.50205,1.50470
2015-01-29 07 PM,1.50449,1.50498,1.50402,1.50465,1.50468,1.50519,1.50422,1.50485
2015-01-29 08 PM,1.50459,1.50691,1.50453,1.50644,1.50481,1.50711,1.50474,1.50667
2015-01-29 09 PM,1.50639,1.50699,1.50603,1.50652,1.50662,1.50732,1.50633,1.50698
2015-01-29 10 PM,1.50657,1.50710,1.50609,1.50686,1.50693,1.50769,1.50666,1.50724
2015-01-29 11 PM,1.50679,1.50778,1.50668,1.50764,1.50717,1.50803,1.50715,1.50790
2015-01-30,1.50755,1.50773,1.50688,1.50754,1.50786,1.50801,1.50726,1.50777
