time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2015-01-29 04 AM,1.25236,1.25275,1.25222,1.25264,1.25258,1.25298,1.25247,1.25289
2015-01-29 05 AM,1.25267,1.25325,1.25265,1.25279,1.25292,1.25349,1.25287,1.25303
2015-01-29 06 AM,1.25281,1.25402,1.25281,1.25372,1.25302,1.25427,1.25302,1.25399
2015-01-29 07 AM,1.25375,1.25387,1.25118,1.25188,1.25398,1.25413,1.25140,1.25211
2015-01-29 08 AM,1.25192,1.25529,1.25191,1.25307,1.25216,1.25555,1.25213,1.25329
2015-01-29 09 AM,1.25308,1.25366,1.25203,1.25255,1.25329,1.25386,1.25227,1.25277
2015-01-29 10 AM,1.25253,1.25416,1.25192,1.25394,1.25276,1.25440,1.25217,1.25420
2015-01-29 11 AM,1.25393,1.25609,1.25361,1.25455,1.25422,1.25639,1.25385,1.25485
2015-01-29 12 PM,1.25454,1.25602,1.25277,1.25449,1.25485,1.25627,1.25306,1.25475
2015-01-29 01 PM,1.25448,1.25497,1.25254,1.25293,1.25477,1.25532,1.25277,1.25318
2015-01-29 02 PM,1.25297,1.25621,1.25229,1.25562,1.25321,1.25645,1.25247,1.25610
2015-01-29 03 PM,1.25562,1.25801,1.25492,1.25700,1.25609,1.25821,1.25515,1.25719
2015-01-29 04 PM,1.25704,1.26722,1.25652,1.26423,1.25725,1.26749,1.25676,1.26442
2015-01-29 05 PM,1.26417,1.26763,1.26410,1.26490,1.26439,1.26789,1.26430,1.26509
2015-01-29 06 PM,1.26491,1.26543,1.26165,1.26208,1.26508,1.26566,1.26189,1.26227
2015-01-29 07 PM,1.26208,1.26226,1.26041,1.26156,1.26226,1.26247,1.26062,1.26177
2015-01-29 08 PM,1.26157,1.26210,1.26066,1.26098,1.26177,1.26230,1.26085,1.26119
2015-01-29 09 PM,1.26097,1.26273,1.26065,1.26164,1.26120,1.26301,1.26086,1.26213
2015-01-29 10 PM,1.26153,1.26270,1.26089,1.26184,1.26287,1.26371,1.26184,1.26248
2015-01-29 11 PM,1.26184,1.26189,1.26064,1.26121,1.26247,1.26247,1.26100,1.26155
2015-01-30,1.26121,1.26202,1.26090,1.26176,1.26146,1.26236,1.26115,1.26196
2015-01-30 01 AM,1.26170,1.26211,1.26107,1.26197,1.26194,1.26234,1.26131,1.26218
2015-01-30 02 AM,1.26193,1.26294,1.26184,1.26293,1.26214,1.26314,1.26205,1.26309
2015-01-30 03 AM,1.26291,1.26321,1.26248,1.26287,1.26311,1.26341,1.26278,1.26307
2015-01-30 04 AM,1.26286,1.26293,1.26240,1.26247,1.26305,1.26314,1.26264,1.26272
2015-01-30 05 AM,1.26247,1.26254,1.26128,1.26157,1.26271,1.26277,1.26150,1.26175
2015-01-30 06 AM,1.26161,1.26399,1.26149,1.26356,1.26181,1.26427,1.26172,1.26380
2015-01-30 07 AM,1.26360,1.26435,1.26309,1.26412,1.26384,1.26460,1.26338,1.26436
2015-01-30 08 AM,1.26411,1.26615,1.26377,1.26581,1.26437,1.26641,1.26403,1.26602
2015-01-30 09 AM,1.26575,1.26696,1.26445,1.26583,1.26600,1.26724,1.26470,1.26606
2015-01-30 10 AM,1.26586,1.26646,1.26444,1.26536,1.26611,1.26672,1.26469,1.26563
2015-01-30 11 AM,1.26532,1.26744,1.26424,1.26596,1.26558,1.26778,1.26449,1.26623
2015-01-30 12 PM,1.26596,1.26635,1.26464,1.26621,1.26622,1.26660,1.26490,1.26647
2015-01-30 01 PM,1.26621,1.27972,1.26455,1.27780,1.26648,1.28009,1.26542,1.27800
2015-01-30 02 PM,1.27780,1.27951,1.27367,1.27630,1.27801,1.27979,1.27386,1.27666
2015-01-30 03 PM,1.27631,1.27805,1.26769,1.26769,1.27666,1.27826,1.26797,1.26797
2015-01-30 04 PM,1.26769,1.27177,1.26707,1.27160,1.26795,1.27195,1.26744,1.27179
2015-01-30 05 PM,1.27158,1.27237,1.27091,1.27230,1.27181,1.27256,1.27113,1.27252
2015-01-30 06 PM,1.27230,1.27419,1.27149,1.27298,1.27251,1.27438,1.27168,1.27316
2015-01-30 07 PM,1.27298,1.27351,1.26581,1.26801,1.27315,1.27372,1.26607,1.26826
2015-01-30 08 PM,1.26805,1.27091,1.26761,1.27091,1.26831,1.27117,1.26783,1.27117
2015-01-30 09 PM,1.27089,1.27263,1.26969,1.27226,1.27119,1.27433,1.27002,1.27375
2015-02-01 10 PM,1.26960,1.27024,1.26812,1.26834,1.27102,1.27147,1.26859,1.26887
2015-02-01 11 PM,1.26823,1.26907,1.26797,1.26880,1.26878,1.26979,1.26829,1.26910
2015-02-02,1.26882,1.27041,1.26858,1.26992,1.26908,1.27067,1.26897,1.27017
2015-02-02 01 AM,1.26988,1.27285,1.26968,1.27266,1.27013,1.27314,1.26994,1.27292
2015-02-02 02 AM,1.27265,1.27343,1.27150,1.27322,1.27293,1.27366,1.27178,1.27348
2015-02-02 03 AM,1.27315,1.27375,1.27315,1.27333,1.27343,1.27399,1.27343,1.27353
2015-02-02 04 AM,1.27333,1.27372,1.27303,1.27353,1.27355,1.27391,1.27323,1.27370
2015-02-02 05 AM,1.27346,1.27389,1.27325,1.27360,1.27369,1.27413,1.27352,1.27383
2015-02-02 06 AM,1.27359,1.27424,1.27326,1.27397,1.27383,1.27451,1.27354,1.27419
2015-02-02 07 AM,1.27397,1.27567,1.27360,1.27404,1.27417,1.27598,1.27392,1.27430
2015-02-02 08 AM,1.27403,1.27648,1.27385,1.27579,1.27431,1.27678,1.27412,1.27602
2015-02-02 09 AM,1.27583,1.27714,1.27438,1.27461,1.27607,1.27741,1.27463,1.27484
2015-02-02 10 AM,1.27465,1.27590,1.27110,1.27158,1.27489,1.27622,1.27133,1.27189
2015-02-02 11 AM,1.27158,1.27180,1.26517,1.26683,1.27190,1.27205,1.26555,1.26709
2015-02-02 12 PM,1.26683,1.26867,1.26580,1.26665,1.26708,1.26897,1.26607,1.26694
2015-02-02 01 PM,1.26665,1.26856,1.26456,1.26475,1.26696,1.26900,1.26487,1.26504
2015-02-02 02 PM,1.26476,1.26516,1.25663,1.25839,1.26502,1.26544,1.25687,1.25958
2015-02-02 03 PM,1.25839,1.26113,1.25654,1.25852,1.25959,1.26138,1.25689,1.25874
2015-02-02 04 PM,1.25852,1.26200,1.25739,1.25766,1.25873,1.26227,1.25768,1.25788
2015-02-02 05 PM,1.25768,1.25914,1.25563,1.25793,1.25791,1.25936,1.25585,1.25812
2015-02-02 06 PM,1.25787,1.26029,1.25757,1.26000,1.25809,1.26053,1.25778,1.26020
2015-02-02 07 PM,1.26001,1.26013,1.25753,1.25853,1.26019,1.26033,1.25783,1.25873
2015-02-02 08 PM,1.25856,1.25942,1.25691,1.25750,1.25878,1.25970,1.25712,1.25774
2015-02-02 09 PM,1.25751,1.25866,1.25621,1.25643,1.25776,1.25889,1.25650,1.25702
2015-02-02 10 PM,1.25677,1.25779,1.25573,1.25732,1.25751,1.25924,1.25706,1.25820
2015-02-02 11 PM,1.25734,1.25830,1.25603,1.25819,1.25819,1.25877,1.25670,1.25855
2015-02-03,1.25818,1.25896,1.25714,1.25768,1.25853,1.25924,1.25755,1.25796
2015-02-03 01 AM,1.25767,1.25865,1.25702,1.25787,1.25798,1.25903,1.25731,1.25816
2015-02-03 02 AM,1.25794,1.25855,1.25742,1.25841,1.25823,1.25883,1.25764,1.25862
2015-02-03 03 AM,1.25844,1.26259,1.25844,1.26196,1.25864,1.26288,1.25864,1.26233
2015-02-03 04 AM,1.26191,1.26435,1.26147,1.26245,1.26226,1.26458,1.26181,1.26276
2015-02-03 05 AM,1.26247,1.26310,1.26145,1.26183,1.26277,1.26343,1.26173,1.26211
2015-02-03 06 AM,1.26182,1.26254,1.26136,1.26183,1.26211,1.26282,1.26168,1.26216
2015-02-03 07 AM,1.26181,1.26198,1.25942,1.26057,1.26213,1.26228,1.25970,1.26080
2015-02-03 08 AM,1.26056,1.26201,1.25622,1.25637,1.26081,1.26231,1.25650,1.25660
2015-02-03 09 AM,1.25636,1.25936,1.25599,1.25803,1.25660,1.25968,1.25627,1.25827
2015-02-03 10 AM,1.25803,1.25809,1.25437,1.25466,1.25828,1.25837,1.25466,1.25492
2015-02-03 11 AM,1.25462,1.25562,1.25292,1.25541,1.25486,1.25588,1.25315,1.25569
2015-02-03 12 PM,1.25541,1.25830,1.25464,1.25722,1.25570,1.25854,1.25488,1.25747
2015-02-03 01 PM,1.25722,1.25940,1.24977,1.25087,1.25746,1.25962,1.25042,1.25111
2015-02-03 02 PM,1.25089,1.25469,1.25064,1.25136,1.25109,1.25492,1.25085,1.25179
2015-02-03 03 PM,1.25139,1.25363,1.24848,1.24873,1.25180,1.25384,1.24873,1.24892
2015-02-03 04 PM,1.24876,1.24952,1.24241,1.24523,1.24899,1.24971,1.24267,1.24544
2015-02-03 05 PM,1.24518,1.24640,1.24087,1.24313,1.24540,1.24663,1.24110,1.24345
2015-02-03 06 PM,1.24313,1.24314,1.23495,1.24036,1.24343,1.24343,1.23538,1.24058
2015-02-03 07 PM,1.24034,1.24238,1.23794,1.24108,1.24053,1.24261,1.23820,1.24126
2015-02-03 08 PM,1.24111,1.24114,1.23895,1.23953,1.24131,1.24136,1.23914,1.23987
2015-02-03 09 PM,1.23954,1.24257,1.23954,1.24128,1.23986,1.24285,1.23982,1.24172
2015-02-03 10 PM,1.24146,1.24317,1.24018,1.24272,1.24201,1.24379,1.24137,1.24329
2015-02-03 11 PM,1.24272,1.24427,1.24229,1.24410,1.24328,1.24452,1.24270,1.24436
2015-02-04,1.24408,1.24427,1.24173,1.24237,1.24436,1.24452,1.24197,1.24263
2015-02-04 01 AM,1.24236,1.24293,1.24070,1.24265,1.24265,1.24321,1.24097,1.24289
2015-02-04 02 AM,1.24266,1.24398,1.24103,1.24199,1.24289,1.24422,1.24131,1.24233
2015-02-04 03 AM,1.24198,1.24214,1.24102,1.24126,1.24234,1.24247,1.24129,1.24158
2015-02-04 04 AM,1.24120,1.24127,1.24023,1.24027,1.24153,1.24158,1.24045,1.24049
2015-02-04 05 AM,1.24028,1.24094,1.23894,1.23925,1.24049,1.24117,1.23918,1.23953
2015-02-04 06 AM,1.23925,1.24155,1.23925,1.24065,1.23956,1.24183,1.23953,1.24099
2015-02-04 07 AM,1.24066,1.24219,1.24057,1.24219,1.24099,1.24247,1.24085,1.24247
2015-02-04 08 AM,1.24219,1.24471,1.24136,1.24240,1.24246,1.24497,1.24162,1.24264
2015-02-04 09 AM,1.24238,1.24583,1.24210,1.24461,1.24266,1.24609,1.24235,1.24489
2015-02-04 10 AM,1.24463,1.24749,1.24326,1.24628,1.24490,1.24774,1.24362,1.24650
2015-02-04 11 AM,1.24630,1.24635,1.24309,1.24383,1.24652,1.24659,1.24335,1.24409
2015-02-04 12 PM,1.24389,1.24533,1.24328,1.24462,1.24412,1.24557,1.24353,1.24485
2015-02-04 01 PM,1.24461,1.24899,1.24405,1.24714,1.24485,1.24920,1.24457,1.24737
2015-02-04 02 PM,1.24711,1.25043,1.24685,1.25018,1.24735,1.25116,1.24704,1.25098
2015-02-04 03 PM,1.25018,1.25915,1.25012,1.25681,1.25097,1.25942,1.25090,1.25701
2015-02-04 04 PM,1.25682,1.25710,1.25286,1.25500,1.25701,1.25733,1.25305,1.25519
2015-02-04 05 PM,1.25497,1.25670,1.25360,1.25611,1.25518,1.25689,1.25387,1.25627
2015-02-04 06 PM,1.25609,1.25798,1.25465,1.25798,1.25628,1.25821,1.25483,1.25820
2015-02-04 07 PM,1.25798,1.25895,1.25623,1.25658,1.25821,1.25915,1.25647,1.25683
2015-02-04 08 PM,1.25663,1.25697,1.25485,1.25620,1.25687,1.25719,1.25510,1.25644
2015-02-04 09 PM,1.25619,1.25796,1.25585,1.25738,1.25646,1.25832,1.25615,1.25810
2015-02-04 10 PM,1.25677,1.25761,1.25408,1.25718,1.25751,1.25860,1.25667,1.25770
2015-02-04 11 PM,1.25718,1.25793,1.25613,1.25783,1.25771,1.25830,1.25656,1.25813
2015-02-05,1.25783,1.25853,1.25673,1.25787,1.25814,1.25886,1.25708,1.25814
2015-02-05 01 AM,1.25789,1.25789,1.25601,1.25635,1.25813,1.25815,1.25626,1.25661
2015-02-05 02 AM,1.25635,1.25670,1.25499,1.25543,1.25660,1.25697,1.25522,1.25566
2015-02-05 03 AM,1.25545,1.25554,1.25426,1.25463,1.25565,1.25578,1.25450,1.25489
2015-02-05 04 AM,1.25463,1.25530,1.25428,1.25520,1.25491,1.25552,1.25450,1.25545
2015-02-05 05 AM,1.25520,1.25552,1.25443,1.25517,1.25544,1.25578,1.25473,1.25542
2015-02-05 06 AM,1.25520,1.25658,1.25520,1.25644,1.25547,1.25686,1.25547,1.25673
2015-02-05 07 AM,1.25650,1.25657,1.25492,1.25516,1.25675,1.25682,1.25520,1.25538
2015-02-05 08 AM,1.25514,1.25570,1.25381,1.25415,1.25539,1.25594,1.25405,1.25439
2015-02-05 09 AM,1.25414,1.25470,1.25096,1.25132,1.25439,1.25496,1.25126,1.25154
2015-02-05 10 AM,1.25128,1.25225,1.25065,1.25153,1.25150,1.25249,1.25089,1.25176
2015-02-05 11 AM,1.25153,1.25379,1.25104,1.25341,1.25175,1.25406,1.25127,1.25371
2015-02-05 12 PM,1.25341,1.25341,1.24998,1.25212,1.25370,1.25370,1.25033,1.25239
2015-02-05 01 PM,1.25212,1.25237,1.24602,1.24907,1.25237,1.25260,1.24636,1.24929
2015-02-05 02 PM,1.24909,1.25194,1.24663,1.24752,1.24927,1.25220,1.24685,1.24771
2015-02-05 03 PM,1.24751,1.24751,1.24079,1.24220,1.24773,1.24773,1.24102,1.24249
2015-02-05 04 PM,1.24222,1.24389,1.24180,1.24204,1.24246,1.24415,1.24202,1.24226
2015-02-05 05 PM,1.24205,1.24415,1.24190,1.24324,1.24224,1.24436,1.24212,1.24347
2015-02-05 06 PM,1.24324,1.24349,1.23926,1.24059,1.24345,1.24371,1.23949,1.24077
2015-02-05 07 PM,1.24059,1.24458,1.24059,1.24407,1.24078,1.24480,1.24078,1.24426
2015-02-05 08 PM,1.24405,1.24405,1.24216,1.24226,1.24427,1.24427,1.24238,1.24253
2015-02-05 09 PM,1.24227,1.24419,1.24194,1.24327,1.24253,1.24447,1.24222,1.24395
2015-02-05 10 PM,1.24329,1.24362,1.24225,1.24299,1.24390,1.24516,1.24316,1.24333
2015-02-05 11 PM,1.24298,1.24357,1.24286,1.24352,1.24334,1.24387,1.24311,1.24382
2015-02-06,1.24353,1.24503,1.24312,1.24337,1.24382,1.24525,1.24339,1.24359
2015-02-06 01 AM,1.24337,1.24462,1.24337,1.24377,1.24358,1.24486,1.24358,1.24397
2015-02-06 02 AM,1.24376,1.24459,1.24351,1.24425,1.24399,1.24483,1.24377,1.24455
2015-02-06 03 AM,1.24421,1.24436,1.24377,1.24382,1.24449,1.24462,1.24403,1.24405
2015-02-06 04 AM,1.24378,1.24400,1.24351,1.24372,1.24400,1.24426,1.24373,1.24392
2015-02-06 05 AM,1.24371,1.24384,1.24297,1.24301,1.24390,1.24406,1.24322,1.24325
2015-02-06 06 AM,1.24297,1.24337,1.24276,1.24301,1.24320,1.24361,1.24296,1.24323
2015-02-06 07 AM,1.24302,1.24461,1.24284,1.24409,1.24321,1.24482,1.24305,1.24432
2015-02-06 08 AM,1.24411,1.24585,1.24410,1.24477,1.24430,1.24605,1.24430,1.24497
2015-02-06 09 AM,1.24481,1.24609,1.24393,1.24399,1.24501,1.24629,1.24415,1.24418
2015-02-06 10 AM,1.24398,1.24601,1.24289,1.24596,1.24421,1.24625,1.24313,1.24621
2015-02-06 11 AM,1.24597,1.24698,1.24393,1.24457,1.24621,1.24724,1.24414,1.24475
2015-02-06 12 PM,1.24458,1.24490,1.24348,1.24373,1.24474,1.24510,1.24371,1.24392
2015-02-06 01 PM,1.24373,1.24989,1.23584,1.24228,1.24393,1.25022,1.23884,1.24254
2015-02-06 02 PM,1.24219,1.24759,1.24203,1.24706,1.24252,1.24782,1.24231,1.24725
2015-02-06 03 PM,1.24710,1.24899,1.24578,1.24872,1.24731,1.24920,1.24601,1.24889
2015-02-06 04 PM,1.24874,1.25319,1.24851,1.25233,1.24891,1.25346,1.24871,1.25256
2015-02-06 05 PM,1.25238,1.25317,1.24963,1.25147,1.25260,1.25342,1.24987,1.25169
2015-02-06 06 PM,1.25144,1.25455,1.24959,1.25324,1.25164,1.25477,1.24985,1.25348
2015-02-06 07 PM,1.25326,1.25444,1.25233,1.25273,1.25349,1.25469,1.25252,1.25297
2015-02-06 08 PM,1.25274,1.25359,1.25196,1.25231,1.25297,1.25384,1.25222,1.25255
2015-02-06 09 PM,1.25230,1.25278,1.25066,1.25166,1.25253,1.25308,1.25159,1.25305
2015-02-08 10 PM,1.25303,1.25359,1.25102,1.25132,1.25444,1.25506,1.25212,1.25324
2015-02-08 11 PM,1.25145,1.25201,1.25093,1.25169,1.25318,1.25355,1.25153,1.25200
2015-02-09,1.25168,1.25222,1.25106,1.25207,1.25201,1.25251,1.25134,1.25232
2015-02-09 01 AM,1.25211,1.25222,1.25079,1.25100,1.25237,1.25258,1.25102,1.25128
2015-02-09 02 AM,1.25098,1.25112,1.25038,1.25062,1.25127,1.25133,1.25061,1.25087
