time,AUD_USD,EUR_GBP,EUR_USD,GBP_USD,USD_CAD,USD_CHF,USD_JPY,year
2015-01-29 04:00:00,0.78856,0.74467,1.12749,1.5139,1.25236,0.91085,117.937,2015
2015-01-29 05:00:00,0.78666,0.74436,1.12683,1.5137,1.25267,0.91076,117.883,2015
2015-01-29 06:00:00,0.78727,0.74421,1.1273,1.51457,1.25281,0.91075,117.617,2015
2015-01-29 07:00:00,0.78684,0.74465,1.12813,1.5147,1.25375,0.9093,117.713,2015
2015-01-29 08:00:00,0.78705,0.74585,1.12875,1.51313,1.25192,0.91044,117.695,2015
2015-01-29 09:00:00,0.78303,0.74615,1.12872,1.51224,1.25308,0.91018,117.759,2015
2015-01-29 10:00:00,0.78193,0.74735,1.13148,1.51361,1.25253,0.9121,117.821,2015
2015-01-29 11:00:00,0.78005,0.74657,1.13057,1.51424,1.25393,0.92088,117.855,2015
2015-01-29 12:00:00,0.7789,0.74752,1.13106,1.51282,1.25454,0.91631,117.989,2015
2015-01-29 13:00:00,0.77724,0.74679,1.1296,1.51258,1.25448,0.91891,118.082,2015
2015-01-29 14:00:00,0.77841,0.74846,1.13226,1.51254,1.25297,0.91696,117.951,2015
2015-01-29 15:00:00,0.77776,0.74963,1.13343,1.51189,1.25562,0.91971,117.872,2015
2015-01-29 16:00:00,0.77875,0.75186,1.13358,1.50752,1.25704,0.91828,118.055,2015
2015-01-29 17:00:00,0.77567,0.75167,1.13073,1.50412,1.26417,0.92259,118.298,2015
2015-01-29 18:00:00,0.77247,0.7511,1.13029,1.50466,1.26491,0.92373,118.336,2015
2015-01-29 19:00:00,0.77462,0.75158,1.13077,1.50449,1.26208,0.92367,118.428,2015
2015-01-29 20:00:00,0.77565,0.75175,1.1312,1.50459,1.26157,0.92478,118.366,2015
2015-01-29 21:00:00,0.7764,0.75159,1.13237,1.50639,1.26097,0.92296,118.292,2015
2015-01-29 22:00:00,0.77565,0.75087,1.13167,1.50657,1.26153,0.92213,118.293,2015
2015-01-29 23:00:00,0.77677,0.75156,1.13267,1.50679,1.26184,0.92203,118.32,2015
2015-01-30 00:00:00,0.77806,0.75167,1.13328,1.50755,1.26121,0.92211,118.267,2015
2015-01-30 01:00:00,0.77859,0.7512,1.13262,1.50754,1.2617,0.92154,118.217,2015
2015-01-30 02:00:00,0.77848,0.7517,1.13322,1.5074,1.26193,0.92263,118.026,2015
2015-01-30 03:00:00,0.77709,0.75154,1.13295,1.50723,1.26291,0.92178,117.961,2015
2015-01-30 04:00:00,0.77832,0.75142,1.1326,1.50714,1.26286,0.92046,118.021,2015
2015-01-30 05:00:00,0.77791,0.75148,1.13269,1.50723,1.26247,0.92145,118.009,2015
2015-01-30 06:00:00,0.77903,0.75176,1.13386,1.50801,1.26161,0.92047,117.808,2015
2015-01-30 07:00:00,0.7774,0.75142,1.13334,1.50789,1.2636,0.9203,117.883,2015
2015-01-30 08:00:00,0.77786,0.75226,1.13349,1.50663,1.26411,0.92791,117.893,2015
2015-01-30 09:00:00,0.77678,0.75247,1.13404,1.50685,1.26575,0.92308,117.687,2015
2015-01-30 10:00:00,0.77602,0.7501,1.13081,1.50727,1.26586,0.92505,117.639,2015
2015-01-30 11:00:00,0.77499,0.75291,1.13517,1.50764,1.26532,0.92118,117.572,2015
2015-01-30 12:00:00,0.77764,0.7517,1.13361,1.50803,1.26596,0.9251,117.692,2015
2015-01-30 13:00:00,0.77763,0.7512,1.13051,1.50472,1.26621,0.9244,117.763,2015
2015-01-30 14:00:00,0.77422,0.75159,1.13171,1.50556,1.2778,0.92435,117.436,2015
2015-01-30 15:00:00,0.77481,0.75203,1.13021,1.5026,1.27631,0.92829,117.668,2015
2015-01-30 16:00:00,0.77886,0.75127,1.12831,1.50161,1.26769,0.91962,117.443,2015
2015-01-30 17:00:00,0.77609,0.75128,1.12893,1.50254,1.27158,0.92083,117.442,2015
2015-01-30 18:00:00,0.77617,0.75138,1.12864,1.50184,1.2723,0.91928,117.407,2015
